,FRYL,ADD1,GNPDA2,CDKN2AIP,TRAM1L1,PI4K2B,NHEDC1,TMEM175,OCIAD2,COMMD8,OCIAD1,DLG5,WWC2,GRK4,ANAPC10,EIF3F,RWDD4A,NCRNA00188,LAP3,KRT2,OTUD4,WDR1,LARP7,CREB5,C17orf48,SMAD1,RPL14,RPL15,RPL17,RPL11,RPL12,RPL13,TMEM184C,PRMT10,FAM193A,MRPL1,SMPDL3A,ADH5,RBM47,EEF1G,EEF1D,RAB33B,FBXL5,SNHG5,SNHG6,LYAR,CDS1,MAPK10,RNF4,ABCE1,WHSC2,MED28,ANKRD50,RPL37A,HELQ,RPL8,TRIM2,METAP1,C4orf23,RPL5,PABPC4,RPL3,C4orf27,SLAIN2,EXOSC9,NOP14,ZNF595,KIAA0922,FAM200B,SAP30,NEK1,ABHD15,TADA2B,DCTD,MOBKL1A,HAUS3,MRFAP1L1,PAICS,RPL26,RPL41,SMARCAD1,RPS3A,KCNIP4,SFRS2B,GAR1,CISD2,NUDT9,PDLIM1,SDAD1,LOC93622,TMEM129,TMEM128,NUDT6,UBA6,DCUN1D4,TIFA,RAP1GDS1,EIF4E,RG9MTD2,MRFAP1,C6orf48,UBE2K,NAA15,SLBP,SCARB2,DNAH8,RPL27A,ARFIP1,MTTP,FBXO30,RPS27A,RPSAP58,LIN54,GAS5,LOC441046,SNX25,MFSD8,ZNF330,RPLP2,RPLP1,RPLP0,LETM1,RPL35A,RPS15A,RPS7,RPS6,FAM81B,RPS3,RPS2,PIGY,FBXO8,RPS17,ELMOD2,MXD4,AP1AR,RPS9,RPS8,INTS12,SLC10A7,TMEM192,GUF1,TBC1D1,PLRG1,CENPC1,CNKSR3,ANAPC4,PHB2,C4orf34,ICAM4,USP46,CTBP1,RPL4,C4orf39,RPS24,KIAA0232,RPS21,PDS5A,ENOPH1,EEF1B2,CC2D2A,BCAM,CHRNA1,TAPT1,TRIM61,PGRMC2,QARS,MAEA,YTHDC1,RPSA,NUP54,ACOX3,QRFPR,CCDC111,C4orf43,C4orf42,C4orf41,RPL10A,UBE2D3,WDR19,PPID,TBC1D14,RPS13,RPS12,STIM2,RPS10,UTP3,RPL23A,RPL31P11,HYI,RPS18,AIMP1,ZMYND17,PAPLN,RPS25,DCAF16,CRIPAK,C20orf199,ELF2,FRG1,FAM13A,RPL29,BCL2L13,LOC285456,MAD1L1,PACRGL,RPL27,DGKQ,RPL21,NAP1L5,IMPDH2,TMEM33,C4orf52,LOC285593,GAK,RPL22,QDPR,KSR1,UFSP2,AASDH,ZNF721,ANXA5,LIAS,PIGG,KIAA1530,LSM6,BOD1L,RCHY1,OLA1,SEPSECS,SPIRE2,CNO,MRPS18C,HES2,NAF1,USP38,EXOC1,THAP6,RPL39,RAB28,THAP9,RPL32,RPL30,RPL31,RPS29,LOC348926,HTT,ZBTB49,KIAA1370,SPATA5,COQ2,
COQ2,0.532,0.6872,0,0.5583,0.5451,0.5019,0,0,0,0,0.5394,0.5179,0.5198,-0.6425,0.6522,-0.6661,-0.627,-0.5892,-0.6055,0.5128,0.57,0.6082,0.6691,0,0,0.5726,0,0,0.6495,0,0.543,0,0,0,-0.5787,0.5442,-0.5318,0,0,-0.549,-0.5332,-0.5747,-0.5101,-0.6382,-0.5682,-0.578,-0.6493,-0.5914,-0.6182,-0.5759,-0.5653,-0.607,-0.6369,-0.5599,-0.5593,-0.5525,-0.6194,0,-0.5258,-0.6771,-0.5201,-0.5054,-0.6425,-0.5176,0,-0.5852,-0.5463,0,-0.5392,-0.6392,0.5478,0,0,0,0,0,-0.5171,0,-0.5899,-0.5132,-0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0,0,0,0.5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5036,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5006,0,0.6159,0,0.5622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6759,0.6319,0,0.5531,0,0.5607,0.5547,0,0,0,0,0,0.5121,0.5021,0,0.5234,0,0.5528,0,0,0,0,0,0,0,0,0.568,0.5442,0,0.5404,0.5252,0.654,0.6219,0.5859,0.6916,0.6621,0.6326,0.5544,0.6653,0.6085,0.6822,0.695,0.581,0.6662,0.6098,0.6298,0,
SPATA5,0,0.794,0,0.5663,0.5403,0,0.5556,0.5877,0,0,0.6271,0.5473,0,-0.601,0.6301,-0.6951,-0.6709,-0.638,-0.6332,0.53,0.6129,0.6281,0.6945,0,0.5365,0.5502,0,0,0.5799,0.582,0.5488,0.5249,0,0.5684,-0.5455,0.5275,-0.593,0,0,0,-0.6226,-0.5551,-0.5085,-0.5872,-0.516,-0.5277,-0.5424,-0.6133,-0.6945,-0.5982,-0.5257,-0.5836,-0.6186,0,-0.593,-0.5834,0,0,-0.5563,-0.621,-0.5636,-0.6452,-0.5863,-0.5444,0,-0.5837,0,0,-0.5075,-0.5537,0,0,0,0,-0.5167,0,-0.578,0,-0.5351,-0.5105,0,0,0,0,0,0,0,0,0,0,0.5251,0,0,0,0,0.5264,0,0,0,0,0,0,0,0,0,0.5025,0,0,0,0,0,0,0,0,0.5406,0,0,0.5472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5449,0.5495,0,-0.6156,0,0,0,0,0,0,0.5215,0,0,0,0,0,0,0.5668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5033,0.5296,0.6138,0,0.5332,0,0,0,0,0.5006,0,0.563,0.5296,0,0.6331,0,0.5181,0.6545,0.5697,0,0,0,0,0,0.548,0,0,0.6217,0.593,0.5053,0.512,0.6785,0.6354,0.5043,0.677,0.5672,0.5942,0.7517,0.5197,0.6003,0.5748,0.7134,0.5164,0.5786,0.6306,0.7258,0,0.6298,
KIAA1370,0.5049,0.6045,0.5423,0,0,0,0.6052,0.526,0.5216,0,0,0,0,-0.5884,0.6722,-0.6274,-0.5941,-0.5581,-0.6136,0.617,0.5874,0.6648,0.7114,0,0,0,0,0,0,0.5437,0.5496,0,0,0,-0.5725,0,0,0,0,0,-0.6089,-0.6004,-0.598,-0.5494,-0.5868,-0.5967,-0.6033,-0.579,-0.5982,-0.66,-0.6062,0,-0.5476,-0.5057,-0.562,-0.5856,-0.6019,-0.5076,-0.5199,-0.5759,0,-0.6175,-0.5893,-0.5894,-0.5396,-0.5361,0,0,-0.5656,-0.5411,0.5452,0,0,0,-0.5095,0,0,-0.5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5145,0,0.6286,0,0,0,0,0,0,0,0,0,0,0.5407,0,0,0.5057,0,0,0,0,0,0.5604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5124,0,0,0.614,0.5663,0.554,0,0,0,0,0.5091,0,0,0.6061,0.5714,0.5095,0.5714,0,0.5072,0.5365,0.5903,0,0,0,0,0,0,0,0,0.5884,0.5693,0,0,0.5836,0.5713,0,0.7381,0.5805,0.6016,0.7106,0.6,0.6855,0,0.5389,0.5424,0.5137,0.673,0,0.7258,0.6098,
ZBTB49,0.5459,0.5614,0,0.5331,0,0.5218,0.5156,0.683,0.5052,0.5041,0.5276,0.5848,0.5457,-0.7053,0.6742,-0.7551,-0.7726,-0.6553,-0.6588,0.6044,0.6377,0.6613,0.6774,0,0.503,0,0,0.569,0.5267,0.6546,0.5044,0.5392,0.5088,0.5017,-0.716,0.5372,-0.5372,-0.5062,-0.5416,-0.5386,-0.6158,-0.646,-0.6451,-0.7619,-0.5716,-0.6023,-0.6416,-0.6992,-0.6943,-0.6709,-0.5874,-0.6443,-0.7192,-0.6252,-0.637,-0.6389,-0.6078,0,0,-0.6255,0,-0.6451,-0.5972,-0.5859,-0.5146,-0.5265,-0.5761,-0.5827,-0.5864,-0.6213,0,0,0,-0.517,-0.5454,0,0,-0.5192,0,0,-0.5414,0,0,0,0,0,-0.5302,0,0,0,0,0,0,0,0.5598,0,0,0,0,0,0,0,0,0,0,0.5931,0,0,0,0,0,0,0,0,0.5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6415,0.5761,0,0,0,0,0,0.5085,0,-0.5191,0.5101,0.5514,0.5305,0.6231,0,0,0,0.5443,0,0,0,0,0,0,0,0,0.5658,0.5553,0.5639,0.5346,0.5764,0.5349,0.5027,0.6576,0.6249,0.5477,0.7038,0.6417,0.6903,0.6096,0.6701,0.6236,0.5356,0,0.673,0.6306,0.6662,
HTT,0,0.5702,0,0,0.5421,0.5628,0,0,0,0,0,0.6087,0,-0.5457,0.5674,-0.5692,-0.6258,-0.5244,-0.5337,0,0.5996,0.6305,0.605,0.503,0,0.5515,0,0,0.5036,0,0.5714,0.6293,0,0,-0.5042,0,0,0,0,0,0,0,-0.5177,0,0,0,0,0,0,0,0,0,-0.5389,-0.5073,0,-0.6269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5502,0,0,0,0,0,0,0,0,0,0,0.6134,0,0,0.5698,0,0,0,0,0,0,0,0,0.5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5224,0,0,0.5108,0,0.5062,0,0,0.5693,0.6012,0.6442,0,0,0,0,0,0,0,0,-0.5424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6619,0.6084,0.516,0.6996,0.6174,0,0.5799,0.6648,0.5087,0,0,0,0.5964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6303,0,0.5608,0.5643,0.5857,0.672,0.7213,0.6234,0.6699,0.6942,0.5882,0.6049,0.6675,0.543,0.6781,0.7353,0,0.5356,0.5137,0.5786,0.581,
LOC348926,0,0.5478,0,0,0,0.5861,0,0,0,0,0,0.5401,0.5339,-0.6026,0.5777,-0.603,-0.6093,-0.6192,-0.6247,0,0.5562,0.5925,0.5534,0,0,0,0,0,0.5359,0,0.5922,0.5049,0,0,-0.5478,0,0,0,-0.5481,-0.5073,0,-0.5435,-0.5309,-0.5848,0,0,-0.5948,0,0,0,0,0,-0.6045,-0.5734,-0.5972,-0.5418,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.536,0.5211,0,0,0,0,0,0,-0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5756,0,0,0.5469,0,0,0,0,0.6784,0.5097,0,0,0,0,0.5418,0,0.5028,0.6373,0.6173,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6749,0.6521,0,0.5831,0.5426,0,0.6391,0.576,0.5204,0,0,0,0.5515,0,0,0.5529,0,0.5672,0,0,0,0,0,0,0,0,0.6856,0,0.5343,0.5366,0.55,0.6874,0.6796,0.6574,0.6948,0.7009,0.5908,0.5732,0.6974,0.6055,0.6915,0,0.7353,0.6236,0.5424,0.5164,0.695,
RPS29,0,0.7072,0,0.5334,0,0.5319,0,0,0,0,0,0,0.5567,-0.5843,0.5899,-0.6207,-0.6129,-0.6125,-0.6008,0,0.5487,0.5718,0.6019,0,0,0,0,0.614,0.5802,0.6208,0.5267,0.656,0.5213,0.5203,0,0.5662,-0.5041,0,0,0,-0.5528,0,-0.5111,-0.5877,0,0,-0.5191,-0.5254,-0.5352,-0.5339,-0.5119,-0.5426,-0.5702,-0.579,-0.6042,-0.5368,-0.5042,0,0,-0.5456,0,-0.5707,-0.5874,0,0,0,0,-0.5006,0,-0.5694,0.5123,0,0,0,0,0,0,0,0,-0.5222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0.5401,0,0,0,0,0,0,0,0,0,0.5332,0,0,-0.5311,0,0,0,0,0,0,0,0,0,0,0,0,0.5742,0,0,0,0,0,0,0,0.5455,0.5615,0,0,0,0,0,0,0.5634,0,0,0,0,0,0,0,0,0,0,0,0.5448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0.7285,0,0,0.6778,0.53,0.5691,0.5327,0.5777,0,0,0,0,0,0,0,0,0.5345,0,0,0,0,0,0,0,0,0.6287,0,0.5431,0.531,0.5656,0.7124,0.6192,0.6664,0.6551,0.6269,0.6512,0.6094,0.6048,0.6911,0,0.6915,0.6781,0.6701,0.5389,0.7134,0.6822,
RPL31,0,0.5875,0.5398,0.5972,0,0,0,0,0,0.5364,0.561,0.6164,0.5435,-0.5908,0.5941,-0.5992,-0.5866,-0.6129,-0.5748,0.5173,0.6355,0.5473,0.6758,0,0,0.5694,0,0.5444,0.6626,0.6209,0.573,0.584,0,0.605,-0.5873,0.5861,-0.5451,0,0,0,-0.5975,-0.5019,-0.5083,-0.5731,-0.5418,-0.5839,0,-0.5021,-0.5689,0,-0.5734,-0.6022,-0.521,-0.5366,-0.5291,0,-0.52,0,-0.541,0,-0.5095,-0.5539,-0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5326,0,0,0,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0.5021,0.5029,0,0,0,0,0,0,0,0.5551,0,0.5373,0,0,0,0,0,0,0,0,0,0,0,0.5353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5634,0,0,0,0,0,0,0,0,0.5375,0,0,0,0,0.5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5759,0.5026,0,0.5262,0.6419,0.5217,0,0,0,0,0,0,0.5053,0,0.6088,0.5551,0.5076,0.6024,0,0,0,0,0.512,0.5449,0,0,0.6576,0.5737,0.551,0.6573,0.6062,0.6635,0.5307,0.5752,0.6673,0.6743,0.5117,0.5548,0.6171,0,0.6911,0.6055,0.543,0.6096,0,0.5748,0.6085,
RPL30,0.5059,0.5016,0.5572,0,0.5507,0.5628,0,0.5997,0.5904,0,0.5297,0.5596,0.5142,-0.5787,0.6082,-0.5999,-0.6443,-0.5429,-0.564,0.6352,0.5821,0.6918,0.7401,0,0,0.6398,0,0,0.6107,0,0.6017,0,0,0,-0.58,0,0,0,0,0,-0.6111,-0.5611,-0.6327,-0.6259,-0.5475,-0.5455,-0.5633,0,0,-0.5264,-0.5209,0,-0.5637,-0.504,-0.5581,-0.5001,-0.5769,0,0,0,0,-0.5485,-0.5834,-0.5363,-0.5256,0,0,0,0,0,0.5578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6351,0,0,0,0,0,0,0,0,0.5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5465,0,0,0.5143,0.5092,0,0,0,0,0.5657,0,0,0,0.6544,0.5081,0.6309,0,0,0,0,0,0,0,0,0,0,0,0,0.5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5147,0.6034,0.6182,0.6645,0.5845,0.5869,0,0.5148,0.5768,0.6699,0.537,0,0,0.5462,0.5944,0.5845,0.5101,0.5519,0,0.5024,0,0,0,0,0,0,0,0,0.6968,0.5186,0.507,0.7421,0.6306,0.6104,0.6946,0.7092,0.754,0.6411,0.6764,0.6467,0,0.6171,0.6048,0.6974,0.6675,0.6903,0.6855,0.6003,0.6653,
RPL32,0.5798,0,0,0,0,0.5934,0,0,0,0.5346,0,0.5667,0,-0.575,0.5918,-0.5692,-0.6641,-0.543,-0.5965,0.5082,0.5746,0.5719,0.6293,0.5243,0,0.5285,0,0.5769,0,0.5078,0.5328,0.5093,0,0,-0.5804,0,0,0,-0.5005,-0.5103,-0.6004,-0.5566,-0.5415,-0.5659,-0.5118,-0.5722,0,-0.554,0,-0.5895,-0.5223,-0.5075,-0.5,-0.6499,-0.5764,-0.566,-0.6099,-0.5193,0,0,0,-0.586,-0.5302,-0.5139,-0.5012,0,-0.5003,-0.5282,0,0,0.5053,0,0,-0.5195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5044,0,0.5243,0,0,0,0,0,0,0,0,0,0,0.5025,0,0,0.5273,0,0,0,0,0,0,0,0,0.5289,0,0.5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5092,0.5457,0.6477,0.5692,0,0,0.5293,0,0,0,0.5031,0,0,0,0,0,0.5167,0,0,0,0.6002,0.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5728,0.5161,0.5786,0.513,0.5085,0,0.5246,0.5847,0,-0.504,0,0.5261,0.6465,0,0.5894,0,0,0.5157,0,0,0,0,0.5113,0,0,0,0.5895,0.5052,0.5663,0.5634,0.5864,0.5583,0.6425,0.7093,0.578,0.5491,0.5148,0,0.6467,0.5548,0.6094,0.5732,0.6049,0.6417,0.6,0.5197,0.5544,
